run,pipes,stages,samples,max_copy,scheduler,buffer,time
2,6,5,200000000,512,smoln,slab,3.878881142
2,6,7,200000000,512,flow,circ,4.711662925
2,6,7,200000000,512,flow,slab,2.025620843
2,6,7,200000000,512,smol1,circ,18.866923103
2,6,7,200000000,512,smol1,slab,8.237214461
2,6,7,200000000,512,smoln,circ,8.97843337
2,6,7,200000000,512,smoln,slab,5.183773101
2,6,9,200000000,512,flow,circ,5.7865929860000005
2,6,9,200000000,512,flow,slab,2.678499705
2,6,9,200000000,512,smol1,circ,22.984560204
2,6,9,200000000,512,smol1,slab,11.097946994
2,6,9,200000000,512,smoln,circ,10.651616936
2,6,9,200000000,512,smoln,slab,6.175064796
3,6,11,200000000,512,flow,circ,7.216743524
3,6,11,200000000,512,flow,slab,3.291924812
3,6,11,200000000,512,smol1,circ,27.609309364
3,6,11,200000000,512,smol1,slab,14.55059805
3,6,11,200000000,512,smoln,circ,12.53598089
3,6,11,200000000,512,smoln,slab,7.586270938
3,6,1,200000000,512,flow,circ,1.924316983
3,6,1,200000000,512,flow,slab,0.355742889
3,6,1,200000000,512,smol1,circ,6.501361877
3,6,1,200000000,512,smol1,slab,1.374736994
3,6,1,200000000,512,smoln,circ,3.32437602
3,6,1,200000000,512,smoln,slab,0.995401868
3,6,13,200000000,512,flow,circ,8.428501411
3,6,13,200000000,512,flow,slab,4.520488879
3,6,13,200000000,512,smol1,circ,31.766623456
3,6,13,200000000,512,smol1,slab,18.194314568
3,6,13,200000000,512,smoln,circ,14.767333403
3,6,13,200000000,512,smoln,slab,9.052078983
3,6,15,200000000,512,flow,circ,8.73364674
3,6,15,200000000,512,flow,slab,5.329558933
3,6,15,200000000,512,smol1,circ,36.000397593
3,6,15,200000000,512,smol1,slab,21.626400816
3,6,15,200000000,512,smoln,circ,16.244983375
3,6,15,200000000,512,smoln,slab,10.280412273
3,6,17,200000000,512,flow,circ,10.561771823
3,6,17,200000000,512,flow,slab,6.7669632790000005
3,6,17,200000000,512,smol1,circ,40.542670389
3,6,17,200000000,512,smol1,slab,25.502332818
3,6,17,200000000,512,smoln,circ,18.172511283
3,6,17,200000000,512,smoln,slab,11.825975851
3,6,19,200000000,512,flow,circ,10.802515702
3,6,19,200000000,512,flow,slab,8.37200647
3,6,19,200000000,512,smol1,circ,45.377440709
3,6,19,200000000,512,smol1,slab,29.278752443
3,6,19,200000000,512,smoln,circ,20.201695872
3,6,19,200000000,512,smoln,slab,13.318364763
3,6,21,200000000,512,flow,circ,12.969560483
